"Marital_status","Course","Daytime_evening_attendance","Previous_qualification","Previous_qualification_grade","Nacionality","Mother_s_occupation","Father_s_occupation","Admission_grade","Displaced","Educational_special_needs","Gender","Scholarship_holder","Age_at_enrollment","International","Unemployment_rate","Inflation_rate","GDP","Target","PAM_1500"
"1","9070","1",1,116,"1","3","3",120.9,"0","0","1","0",24,"0",12.7,3.7,-1.7,"Enrolled",NA
"4","9500","1",19,133.1,"1","5","5",126,"1","0","1","0",29,"0",13.9,-0.3,0.79,"Dropout",NA
"1","171","1",1,139,"1","5","3",128.2,"1","0","1","1",19,"0",10.8,1.4,1.74,"Graduate",1
"1","9003","1",39,130,"1","9","9",130,"1","0","1","0",23,"0",8.9,1.4,3.51,"Graduate",NA
"1","9147","1",1,125,"1",NA,NA,120.1,"0","0","1","0",19,"0",16.2,0.3,-0.92,"Dropout",NA
"1","9254","1",1,160,"1",NA,"10",100,"0","0","1","0",26,"0",12.7,3.7,-1.7,"Enrolled",2
"1","9147","1",1,148,"1","5","5",134,"0","0","1","0",18,"0",7.6,2.6,0.32,"Enrolled",2
"1","9500","1",1,150,"1",NA,"4",130.8,"0","0","1","0",24,"0",13.9,-0.3,0.79,"Graduate",NA
"1","171","1",1,141,"1","5","10",135.8,"1","0","1","0",19,"0",15.5,2.8,-4.06,"Dropout",NA
"1","9254","1",1,118,"1","5",NA,111.7,"1","0","1","0",18,"0",12.4,0.5,1.79,"Dropout",NA
"1","9773","1",1,142,"1","9","9",132.9,"1","0","1","0",18,"0",10.8,1.4,1.74,"Graduate",1
"1","9147","1",1,120,"1","4",NA,115.5,"1","0","1","0",18,"0",10.8,1.4,1.74,"Dropout",1
"1","9254","1",1,106,"1",NA,NA,106,"1","0","1","1",21,"0",9.4,-0.8,-3.12,"Dropout",2
"1","9773","1",1,121,"1","9",NA,120.3,"1","0","1","1",19,"0",8.9,1.4,3.51,"Graduate",NA
"1","9500","1",1,150,"1","9","9",130.8,"0","0","1","1",22,"0",16.2,0.3,-0.92,"Graduate",2
"2","8014","0",1,120,"1","9","6",117,"0","0","1","0",33,"0",10.8,1.4,1.74,"Graduate",2
"1","9853","1",1,114,"1","9","9",110.2,"1","0","1","0",20,"0",10.8,1.4,1.74,"Dropout",1
"1","9991","0",2,140,"1","2","2",155.7,"1","0","1","0",35,"0",10.8,1.4,1.74,"Dropout",NA
"1","9003","1",4,160,"1","4","2",180.4,"0","0","1","0",24,"0",12.4,0.5,1.79,"Dropout",2
"1","9254","1",1,120,"1","4","4",125.5,"0","0","1","0",18,"0",12.7,3.7,-1.7,"Enrolled",NA
"2","8014","0",1,130,"1","9","6",110,"1","0","0","0",33,"0",9.4,-0.8,-3.12,"Graduate",NA
"1","9500","1",1,160,"1","9",NA,161,"1","0","0","1",22,"0",10.8,1.4,1.74,"Graduate",NA
"1","9670","1",1,120,"1","4","5",100,"0","0","0","1",25,"0",9.4,-0.8,-3.12,"Graduate",NA
"1","9070","1",1,124,"1","4",NA,117.6,"1","0","1","0",20,"0",7.6,2.6,0.32,"Graduate",1
"1","9147","1",1,143,"1","9","9",128.7,"1","0","1","0",23,"0",11.1,0.6,2.02,"Enrolled",1
"1","9119","1",1,115,"1","9","6",112.2,"1","0","1","0",18,"0",15.5,2.8,-4.06,"Enrolled",2
"1","9500","1",1,133.1,"1","4","10",100.8,"0","0","1","0",24,"0",13.9,-0.3,0.79,"Dropout",NA
"1","9773","1",1,133.1,"41","9","9",105,"1","0","0","0",21,"1",8.9,1.4,3.51,"Graduate",NA
"1","9130","1",1,133.1,"41","4","4",100,"0","0","0","0",26,"1",8.9,1.4,3.51,"Dropout",NA
"2","9853","1",10,133.1,"1",NA,NA,115.5,"0","0","0","0",39,"0",7.6,2.6,0.32,"Dropout",NA
"2","8014","0",1,133.1,"1","9","9",114,"0","0","0","0",44,"0",12.7,3.7,-1.7,"Graduate",2
"1","9119","1",1,130,"26","9","2",137,"1","0","1","0",19,"1",13.9,-0.3,0.79,"Enrolled",NA
"1","9773","1",1,135,"1","5","5",124.9,"1","0","0","0",18,"0",8.9,1.4,3.51,"Graduate",NA
"1","9500","1",1,132,"1",NA,NA,120.3,"1","0","0","1",18,"0",12.4,0.5,1.79,"Graduate",NA
"1","9085","1",1,135,"1","9","1",134.3,"1","0","0","0",19,"0",12.7,3.7,-1.7,"Enrolled",NA
"1","9500","1",1,115,"1","2","2",111.5,"1","0","0","0",19,"0",13.9,-0.3,0.79,"Dropout",1
"1","9085","1",42,130,"1","9","9",128.8,"0","0","0","0",21,"0",8.9,1.4,3.51,"Dropout",NA
"1","171","1",1,133.1,"1","9","10",110,"1","0","0","0",20,"0",16.2,0.3,-0.92,"Graduate",NA
"2","8014","0",1,130,"1","6","5",113.5,"1","0","0","0",36,"0",9.4,-0.8,-3.12,"Dropout",NA
"4","9003","1",12,133.1,"1","9","6",160,"0","0","0","0",43,"0",15.5,2.8,-4.06,"Graduate",NA
"1","9853","1",1,123,"1","9",NA,117.4,"1","0","0","0",19,"0",11.1,0.6,2.02,"Dropout",NA
"1","9070","1",1,130,"1","2",NA,122.2,"0","0","0","0",20,"0",11.1,0.6,2.02,"Graduate",NA
"1","9238","1",1,122,"1","4",NA,118.2,"1","0","0","0",19,"0",16.2,0.3,-0.92,"Dropout",NA
"1","9085","1",1,113,"1","4","4",106.7,"1","0","0","0",20,"0",15.5,2.8,-4.06,"Dropout",NA
"1","9500","1",1,111,"1","4","3",108.2,"1","0","0","0",20,"0",12.4,0.5,1.79,"Dropout",NA
"1","9853","1",1,133.1,"1","9","3",107,"1","0","0","0",20,"0",16.2,0.3,-0.92,"Enrolled",NA
"1","9238","1",1,142,"1","6",NA,136.1,"1","0","0","0",18,"0",13.9,-0.3,0.79,"Graduate",NA
"1","9147","1",1,123,"1","4",NA,115.3,"1","0","0","1",18,"0",8.9,1.4,3.51,"Enrolled",NA
"1","9085","1",1,131,"1","9","9",139.8,"1","0","0","0",19,"0",10.8,1.4,1.74,"Graduate",NA
"1","9773","1",1,158,"1","4",NA,157,"1","0","0","0",18,"0",10.8,1.4,1.74,"Graduate",NA
"1","9500","1",1,122,"1","9","9",131,"1","0","0","0",18,"0",7.6,2.6,0.32,"Dropout",NA
"1","9500","1",1,130,"1","9","5",100,"0","0","0","0",20,"0",13.9,-0.3,0.79,"Enrolled",NA
"1","9238","1",1,154,"1","9",NA,140.4,"1","0","0","1",20,"0",7.6,2.6,0.32,"Enrolled",NA
"1","9147","1",1,120,"1","3","3",113.4,"0","0","0","0",20,"0",12.4,0.5,1.79,"Enrolled",1
"1","9085","1",1,140,"1","9",NA,137,"0","0","0","0",18,"0",9.4,-0.8,-3.12,"Graduate",NA
"1","9147","1",1,127,"1","4","5",121.8,"0","0","0","0",18,"0",11.1,0.6,2.02,"Graduate",1
"1","9254","1",1,133.1,"1","4","5",131,"1","0","0","0",21,"0",9.4,-0.8,-3.12,"Dropout",NA
"1","9147","1",1,120,"1","9",NA,118.6,"1","0","0","0",19,"0",16.2,0.3,-0.92,"Graduate",NA
"1","171","1",1,137,"1","2","9",122.3,"0","0","0","0",19,"0",10.8,1.4,1.74,"Dropout",NA
"1","9670","1",1,131,"1","9","9",127.9,"0","0","0","1",19,"0",9.4,-0.8,-3.12,"Graduate",NA
"1","9085","1",1,130,"1","4",NA,121.3,"1","0","0","0",19,"0",15.5,2.8,-4.06,"Graduate",NA
"1","9556","1",1,122,"1","4","5",117.1,"1","0","0","0",19,"0",13.9,-0.3,0.79,"Dropout",NA
"1","9085","1",39,160,"1","9","9",160,"1","0","0","0",20,"0",12.4,0.5,1.79,"Graduate",NA
"1","9853","1",1,146,"1","9","3",145.3,"1","0","0","1",18,"0",9.4,-0.8,-3.12,"Enrolled",NA
"1","9238","1",1,131,"1","5","3",122.6,"1","0","0","0",18,"0",12.4,0.5,1.79,"Graduate",NA
"1","9500","1",1,132,"1",NA,"9",128,"1","0","0","0",19,"0",12.4,0.5,1.79,"Graduate",NA
"1","9500","1",1,138,"1","5",NA,124.9,"1","0","0","1",18,"0",13.9,-0.3,0.79,"Dropout",NA
"1","9070","1",1,130,"1","9","9",123.7,"1","0","0","0",18,"0",7.6,2.6,0.32,"Graduate",NA
"1","9147","1",1,126,"1","4",NA,120.1,"1","0","0","0",19,"0",8.9,1.4,3.51,"Graduate",NA
"1","9500","1",1,148,"1","3","3",131.7,"1","0","0","0",19,"0",13.9,-0.3,0.79,"Dropout",1
"1","9238","1",1,130,"1","9",NA,133.2,"0","0","0","0",20,"0",7.6,2.6,0.32,"Graduate",NA
"1","9670","1",1,117,"1","3","9",109.3,"0","0","0","1",19,"0",12.4,0.5,1.79,"Dropout",NA
"1","9670","1",1,120,"1","5","5",113,"1","0","0","0",20,"0",7.6,2.6,0.32,"Graduate",1
"1","9773","1",1,153,"1",NA,NA,157.9,"0","0","0","1",18,"0",8.9,1.4,3.51,"Graduate",NA
"1","9500","1",1,117,"1","4",NA,112.1,"0","0","0","1",20,"0",11.1,0.6,2.02,"Enrolled",1
"1","9500","1",1,178,"1","4",NA,174.7,"0","0","0","0",18,"0",13.9,-0.3,0.79,"Graduate",NA
"1","9500","1",1,129,"1","9","9",128.8,"1","0","0","0",19,"0",7.6,2.6,0.32,"Graduate",1
"1","9773","1",1,116,"1","4","4",110.1,"1","0","0","1",19,"0",12.4,0.5,1.79,"Graduate",1
"1","9147","1",1,99,"1","3","3",99.7,"1","0","0","0",22,"0",8.9,1.4,3.51,"Enrolled",1
"1","9238","1",1,135,"1","9","10",121,"1","0","0","1",19,"0",12.4,0.5,1.79,"Graduate",1
"1","9500","1",1,141,"1","9",NA,131.7,"1","0","0","1",19,"0",15.5,2.8,-4.06,"Graduate",NA
"1","9853","1",1,132,"1","5","6",119.1,"1","0","0","1",19,"0",9.4,-0.8,-3.12,"Graduate",NA
"1","9254","1",1,132,"1","9","9",124.7,"1","0","0","0",19,"0",7.6,2.6,0.32,"Dropout",NA
"1","9254","1",1,113,"1","9","10",117.2,"1","0","0","0",20,"0",7.6,2.6,0.32,"Dropout",1
"1","9147","1",1,134,"1","2","10",128.8,"0","0","0","0",18,"0",13.9,-0.3,0.79,"Graduate",NA
"1","9500","1",1,136,"1","9","9",131.5,"0","0","0","1",20,"0",11.1,0.6,2.02,"Graduate",NA
"1","171","1",1,136,"1","2",NA,121.7,"1","0","0","0",18,"0",9.4,-0.8,-3.12,"Enrolled",1
"1","9085","1",1,129,"1","4",NA,123.4,"0","0","0","0",19,"0",7.6,2.6,0.32,"Graduate",1
"1","9853","1",1,138,"1",NA,"6",124.7,"1","0","0","0",18,"0",9.4,-0.8,-3.12,"Enrolled",NA
"1","9853","1",1,137,"1","9","9",132.8,"1","0","0","0",18,"0",7.6,2.6,0.32,"Graduate",1
"1","9853","1",1,115,"1","2","5",108.7,"1","0","0","0",21,"0",9.4,-0.8,-3.12,"Dropout",1
"1","9853","1",1,129,"1","6","6",138.1,"0","0","0","0",19,"0",7.6,2.6,0.32,"Dropout",NA
"1","9147","1",1,131,"1","9","9",126.5,"0","0","0","1",18,"0",12.4,0.5,1.79,"Graduate",NA
"1","9238","1",1,133,"1",NA,"9",127.4,"1","0","0","1",18,"0",12.7,3.7,-1.7,"Graduate",NA
"1","9238","1",1,125,"1","9","10",123.6,"1","0","0","0",20,"0",9.4,-0.8,-3.12,"Graduate",1
"1","8014","0",1,120,"1","6",NA,122,"0","0","0","1",24,"0",11.1,0.6,2.02,"Graduate",NA
"1","9670","1",1,128,"1","4","1",118.2,"0","0","0","0",19,"0",10.8,1.4,1.74,"Dropout",1
"1","9500","1",1,127,"1","9",NA,123.9,"1","0","0","1",18,"0",15.5,2.8,-4.06,"Graduate",NA
"1","9500","1",1,134,"1","9","9",125.8,"1","0","0","0",18,"0",15.5,2.8,-4.06,"Graduate",1
"1","9853","1",1,132,"1","4","4",123.3,"1","0","0","0",21,"0",10.8,1.4,1.74,"Dropout",NA
"1","9670","1",1,124,"1","5","4",124.4,"0","0","0","0",19,"0",7.6,2.6,0.32,"Graduate",1
"1","9773","1",1,133.1,"1",NA,NA,126,"0","0","0","1",19,"0",15.5,2.8,-4.06,"Graduate",2
"3","9003","1",1,170,"1","6","6",170,"0","0","0","0",47,"0",8.9,1.4,3.51,"Enrolled",NA
"1","9238","1",1,125,"1",NA,NA,121.5,"0","0","0","0",19,"0",13.9,-0.3,0.79,"Graduate",NA
"1","9500","1",3,130,"1","1","1",130,"0","0","0","0",29,"0",12.7,3.7,-1.7,"Graduate",NA
"1","9238","1",1,125,"1","4",NA,117,"1","0","0","0",21,"0",16.2,0.3,-0.92,"Dropout",NA
"1","9085","1",1,130,"1","9",NA,130,"1","0","0","0",28,"0",12.7,3.7,-1.7,"Enrolled",NA
"1","9556","1",1,133.1,"1","3","10",108,"0","0","0","0",20,"0",15.5,2.8,-4.06,"Graduate",NA
"1","9500","1",1,131,"1","4","5",132.3,"1","0","0","0",19,"0",7.6,2.6,0.32,"Graduate",NA
"1","8014","0",1,150,"1","4","6",148,"0","0","0","0",26,"0",9.4,-0.8,-3.12,"Graduate",NA
"1","9254","1",1,125,"1","9",NA,122.6,"1","0","0","0",20,"0",11.1,0.6,2.02,"Dropout",1
"1","9670","1",1,131,"1","9","9",123,"1","0","0","1",18,"0",7.6,2.6,0.32,"Enrolled",NA
"1","9853","1",1,130,"1","9","5",102.5,"0","0","0","0",27,"0",7.6,2.6,0.32,"Graduate",NA
"1","9500","1",1,123,"1",NA,NA,113.3,"1","0","0","0",20,"0",7.6,2.6,0.32,"Dropout",1
"1","9853","1",1,141,"1","9","5",133,"1","0","0","0",18,"0",9.4,-0.8,-3.12,"Dropout",NA
"1","9500","1",3,140,"1","9","5",140,"0","0","0","0",33,"0",16.2,0.3,-0.92,"Dropout",2
"1","9853","1",1,140,"1","3","3",128.3,"1","0","0","0",35,"0",12.4,0.5,1.79,"Graduate",NA
"1","9991","0",39,140,"1","9",NA,140,"0","0","0","1",26,"0",9.4,-0.8,-3.12,"Enrolled",NA
"1","9773","1",19,133.1,"1","3","4",104,"0","0","0","0",27,"0",11.1,0.6,2.02,"Dropout",NA
"1","9070","1",1,131,"1","5","5",122.3,"1","0","0","0",19,"0",15.5,2.8,-4.06,"Dropout",NA
"1","9254","1",1,143,"1","4","6",135,"0","0","0","0",20,"0",11.1,0.6,2.02,"Dropout",1
"1","9147","1",1,132,"1","5",NA,119.1,"1","0","0","0",20,"0",10.8,1.4,1.74,"Dropout",NA
"1","9238","1",1,143,"1","5","9",126.6,"0","0","0","0",21,"0",9.4,-0.8,-3.12,"Enrolled",NA
"1","9500","1",1,141,"1","9","4",129,"1","0","0","1",18,"0",7.6,2.6,0.32,"Graduate",NA
"1","9085","1",1,133.1,"1","9","9",162.3,"1","0","0","0",24,"0",8.9,1.4,3.51,"Dropout",NA
"1","9070","1",1,148,"1","4","1",163.4,"1","0","0","0",20,"0",16.2,0.3,-0.92,"Graduate",NA
"1","9254","1",1,125,"1","9",NA,121.5,"0","0","0","1",21,"0",13.9,-0.3,0.79,"Graduate",2
"1","8014","0",1,120,"1",NA,"3",122.8,"0","0","0","0",23,"0",9.4,-0.8,-3.12,"Enrolled",NA
"1","9147","1",1,140,"1","4","3",118,"1","0","0","0",24,"0",7.6,2.6,0.32,"Dropout",1
"1","9853","1",1,139,"1","4","10",134,"0","0","0","0",21,"0",12.4,0.5,1.79,"Dropout",NA
"1","9500","1",1,142,"1","9",NA,129.8,"1","0","0","0",18,"0",12.7,3.7,-1.7,"Graduate",1
"1","9991","0",40,130,"1","3","4",152,"1","0","0","0",27,"0",8.9,1.4,3.51,"Dropout",NA
"1","9500","1",1,126,"1","5","5",122.8,"1","0","0","0",18,"0",9.4,-0.8,-3.12,"Graduate",NA
"1","9119","1",3,150,"1","2","2",150,"0","0","0","0",35,"0",13.9,-0.3,0.79,"Dropout",2
"1","9853","1",1,130,"1","3",NA,131.8,"0","0","0","0",18,"0",11.1,0.6,2.02,"Graduate",1
"1","9500","1",1,120,"1",NA,NA,105.9,"0","0","0","0",35,"0",11.1,0.6,2.02,"Enrolled",1
"1","9085","1",1,138,"1","4",NA,132.1,"1","0","0","0",19,"0",10.8,1.4,1.74,"Graduate",1
"1","9238","1",1,127,"1","4",NA,127.4,"1","0","0","0",20,"0",7.6,2.6,0.32,"Graduate",1
"1","9500","1",1,140,"1",NA,NA,129.5,"1","0","0","0",18,"0",10.8,1.4,1.74,"Graduate",NA
"1","9238","1",39,130,"1","5","10",126.7,"0","0","0","0",21,"0",13.9,-0.3,0.79,"Graduate",2
"1","9238","1",1,128,"1","9",NA,116.5,"0","0","0","1",18,"0",16.2,0.3,-0.92,"Graduate",NA
"1","9238","1",1,132,"1",NA,NA,119.1,"1","0","0","0",18,"0",7.6,2.6,0.32,"Graduate",1
"1","9500","1",1,149,"1","9","9",126.5,"1","0","0","0",18,"0",12.7,3.7,-1.7,"Graduate",1
"1","9773","1",1,155,"1","1","4",149.8,"1","0","0","1",18,"0",16.2,0.3,-0.92,"Graduate",NA
"1","9085","1",1,120,"1",NA,NA,115.1,"1","0","0","0",19,"0",13.9,-0.3,0.79,"Graduate",NA
"1","9254","1",19,133.1,"1","2","3",124.5,"0","0","0","1",36,"0",16.2,0.3,-0.92,"Dropout",NA
"1","9500","1",1,131,"1",NA,"4",128.3,"1","0","0","1",18,"0",12.7,3.7,-1.7,"Graduate",1
"1","9500","1",1,149,"1","9","9",136,"0","0","0","1",18,"0",7.6,2.6,0.32,"Graduate",NA
"1","9130","1",1,140,"1","9","2",140,"1","0","0","1",20,"0",13.9,-0.3,0.79,"Graduate",NA
"1","9991","0",1,133.1,"1","9","9",126.3,"0","0","0","1",26,"0",16.2,0.3,-0.92,"Dropout",2
"1","9773","1",1,122,"1","4","5",126.9,"0","0","0","0",21,"0",7.6,2.6,0.32,"Graduate",1
"1","9556","1",40,130,"1","4","5",145,"0","0","0","0",25,"0",15.5,2.8,-4.06,"Enrolled",2
"1","9147","1",1,121,"1","5","5",115.8,"1","0","0","1",19,"0",12.4,0.5,1.79,"Graduate",1
"1","8014","0",1,120,"1",NA,NA,100,"1","0","0","0",24,"0",9.4,-0.8,-3.12,"Dropout",1
"1","8014","0",1,133.1,"1","5","4",102.5,"0","0","0","1",27,"0",8.9,1.4,3.51,"Dropout",NA
"1","9085","1",1,121,"1","1","3",131.5,"0","0","0","0",21,"0",7.6,2.6,0.32,"Dropout",NA
"1","9147","1",1,133,"1",NA,NA,147,"0","0","0","1",18,"0",9.4,-0.8,-3.12,"Graduate",NA
"2","9853","1",1,134,"1","5",NA,122.5,"0","1","0","1",19,"0",10.8,1.4,1.74,"Graduate",NA
"1","9254","1",1,115,"1","3","3",117.5,"1","0","0","0",18,"0",9.4,-0.8,-3.12,"Dropout",1
"1","9500","1",1,127,"1","5","9",150,"0","0","0","1",19,"0",11.1,0.6,2.02,"Graduate",1
"1","9500","1",1,135,"1","4","5",127.5,"1","0","0","1",19,"0",16.2,0.3,-0.92,"Graduate",NA
"2","9991","0",43,140,"1","3","3",140,"0","0","0","0",33,"0",11.1,0.6,2.02,"Graduate",NA
"2","9147","1",3,130,"1","3","10",130,"0","0","0","0",45,"0",12.4,0.5,1.79,"Graduate",NA
"1","9238","1",1,135,"1","9","9",133.3,"0","0","0","1",20,"0",11.1,0.6,2.02,"Graduate",NA
"1","9670","1",1,140,"1",NA,NA,97,"1","0","0","0",28,"0",7.6,2.6,0.32,"Dropout",1
"1","9500","1",1,120,"1","5",NA,112,"1","0","0","1",19,"0",12.7,3.7,-1.7,"Graduate",NA
"1","9254","1",1,140,"1","4","5",123.6,"1","0","0","0",18,"0",12.7,3.7,-1.7,"Graduate",NA
"1","9254","1",3,133.1,"1","4","6",130.5,"0","0","0","0",38,"0",15.5,2.8,-4.06,"Dropout",2
"1","9670","1",1,135,"1","4","3",133.3,"0","0","0","0",19,"0",9.4,-0.8,-3.12,"Graduate",NA
"1","9254","1",1,123,"1","9","9",132.1,"0","0","0","1",21,"0",15.5,2.8,-4.06,"Graduate",2
